Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
Lega - Salvini Premier,legasalvinipremier,422703967772535,764369,2020-09-01 20:01:03 EDT,Native Video,252,21,54,1,0,1,0,2,0,share,4991,425757,0,00:01:51,https://www.facebook.com/legasalvinipremier/posts/3574131835963050,"#MUSUMECI: ""GLI HOTSPOT SONO FUORILEGGE!”",https://www.facebook.com/legasalvinipremier/videos/609179989991172/,,,Lega - Salvini Premier,"#MUSUMECI: ""GLI HOTSPOT SONO FUORILEGGE!”",,,-4.02
Lega - Salvini Premier,legasalvinipremier,422703967772535,764369,2020-09-01 10:36:07 EDT,Native Video,4692,641,1682,122,10,21,17,66,21,crosspost,53566,79358,425757,00:01:51,https://www.facebook.com/legasalvinipremier/posts/609179989991172,"#MUSUMECI: ""GLI HOTSPOT SONO FUORILEGGE!”",https://www.facebook.com/legasalvinipremier/videos/609179989991172/,,,"#MUSUMECI: ""GLI HOTSPOT SONO FUORILEGGE!”",,,,5.46
Lega - Salvini Premier,legasalvinipremier,422703967772535,763934,2020-08-31 05:30:04 EDT,Link,586,277,97,3,4,6,5,124,1,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3568354249874142,"MUSUMECI SUGLI SBARCHI: “LAMPEDUSA NON CE LA FA PIÙ, SILENZIO DA ROMA”.",https://www.lastampa.it/politica/2020/08/30/news/musumeci-sugli-sbarchi-lampedusa-non-ce-la-fa-piu-silenzio-da-roma-1.39247207,,,"Musumeci sugli sbarchi: “Lampedusa non ce la fa più, silenzio da Roma”",Il presidente della Regione Sicilia attacca il governo: «Conte convochi il Consiglio dei ministri per l’emergenza migranti”,,,1.62
Lega - Salvini Premier,legasalvinipremier,422703967772535,763440,2020-08-30 08:21:04 EDT,Native Video,2693,595,1629,11,9,6,24,467,7,share,52990,5406722,0,00:04:01,https://www.facebook.com/legasalvinipremier/posts/3565251156851118,"🔴 #Salvini: ‼️‼️‼️”GOVERNO COMPLICE, CI AVETE VENDUTI ALL’EUROPA!”. Solidarietà ai cittadini di Lampedusa (450 sbarchi con un unico barcone solo questa notte!), a tutti i siciliani e al presidente Musumeci, che viene bloccato in ogni iniziativa a difesa della sua gente. Questo governo anti-italiano, il borioso Conte e la burocrate Lamorgese, i poltronari di Pd e 5 Stelle, invisi alla maggioranza del Paese, saranno ricordati come una disgrazia. Chi ha la fortuna di poter votare il 20 e 21 settembre lo faccia e dia un segnale forte, stanno distruggendo quanto di piu bello abbiamo, un isola stupenda, e calpestando l’orgoglio e la dignità di un intero popolo!!! 🇮🇹",https://www.facebook.com/salviniofficial/videos/743786462834501/,,,Matteo Salvini,"‼️‼️‼️”GOVERNO COMPLICE, CI AVETE VENDUTI ALL’EUROPA!”.
Solidarietà ai cittadini di Lampedusa (450 sbarchi con un unico barcone solo questa notte!), a tutti i siciliani e al presidente Musumeci, che viene bloccato in ogni iniziativa a difesa della sua gente. Questo governo anti-italiano, il borioso Conte e la burocrate Lamorgese, i poltronari di Pd e 5 Stelle, invisi alla maggioranza del Paese, saranno ricordati come una disgrazia. Chi ha la fortuna di poter votare il 20 e 21 settembre lo faccia e dia un segnale forte, stanno distruggendo quanto di piu bello abbiamo, un isola stupenda, e calpestando l’orgoglio e la dignità di un intero popolo!!! 🇮🇹",,,4.08
Matteo Salvini,salviniofficial,252306033154,4355782,2020-08-30 08:15:47 EDT,Live Video Complete,85280,23073,62287,2651,556,401,999,14741,303,original,3726362,5406681,0,00:04:01,https://www.facebook.com/salviniofficial/posts/743786462834501,"‼️‼️‼️”GOVERNO COMPLICE, CI AVETE VENDUTI ALL’EUROPA!”. Solidarietà ai cittadini di Lampedusa (450 sbarchi con un unico barcone solo questa notte!), a tutti i siciliani e al presidente Musumeci, che viene bloccato in ogni iniziativa a difesa della sua gente. Questo governo anti-italiano, il borioso Conte e la burocrate Lamorgese, i poltronari di Pd e 5 Stelle, invisi alla maggioranza del Paese, saranno ricordati come una disgrazia. Chi ha la fortuna di poter votare il 20 e 21 settembre lo faccia e dia un segnale forte, stanno distruggendo quanto di più bello abbiamo, un isola stupenda, e calpestando l’orgoglio e la dignità di un intero popolo!!! 🇮🇹",https://www.facebook.com/salviniofficial/videos/743786462834501/,,,DISPERAZIONE E PROTESTE DEI CITTADINI A LAMPEDUSA (30.08.2020),,,,11.68
Matteo Salvini,salviniofficial,252306033154,4355782,2020-08-30 04:08:01 EDT,Photo,26430,16175,13259,85,233,240,619,17492,22,,0,0,0,N/A,https://www.facebook.com/salviniofficial/posts/10158034925743155,"‼️‼️‼️ NELLA NOTTE ALTRI 450 ARRIVI A LAMPEDUSA, MENTRE IL GOVERNO TRASCINA IN TRIBUNALE ME E LA SICILIA Nella notte sbarcati in un colpo solo 450 immigrati clandestini a Lampedusa, in fuga dalla famosa “guerra di Tunisia”... Persino il sindaco (di sinistra) dice: basta angherie, il governo intervenga o chiudiamo tutta l’isola con sciopero generale. La situazione è fuori controllo, la Sicilia è assediata, migliaia di immigrati si riverseranno nelle nostre strade e nelle nostre città a quarantena finita (per non parlare di quelli che fuggono), con un rischio sociale e sanitario altissimo. Eppure, per Conte-Lamorgese-Pd-5Stelle-Renzi-Leu il pericolo sono i siciliani e gli altri italiani che si oppongono all’invasione. Per me ci sarà il processo a Catania, il 3 ottobre, e contro il presidente Musumeci c’è stato il ricorso al Tar. Questo governo spalanca i porti e vuole arrestare chi dice NO, uno schifo. #governoclandestino",https://www.facebook.com/salviniofficial/photos/a.10151670912208155/10158034925698155/?type=3,,SBARCO NOTTURNO A LAMPEDUSA Lampedusa 30.08.2020 @LegaSalviniPremier HAHOHE 450 STOP BASTA! IL SINDACO DI SINISTRA: SIAMO IN GINOCCHIO,,,,,2.79
Lega - Salvini Premier,legasalvinipremier,422703967772535,763440,2020-08-30 03:55:06 EDT,Photo,996,739,579,3,2,13,9,591,1,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3564600623582838,"‼️‼️‼️IMMIGRAZIONE, SALVINI: “NELLA NOTTE ALTRI 450 ARRIVI A LAMPEDUSA, MENTRE IL GOVERNO TRASCINA IN TRIBUNALE ME E LA SICILIA “Nella notte sbarcati in un colpo solo ben 450 immigrati a Lampedusa, quasi il doppio dei tunisini rimpatriati dal governo in tutto il mese di agosto: è l’ennesima prova del totale fallimento del Viminale, mentre le ong coccolate da Conte e Lamorgese sono pronte a portare in Italia altre centinaia di clandestini. La situazione è fuori controllo, Lampedusa è assediata, migliaia di immigrati rischiano di invadere le nostre strade a quarantena finita e c’è un grosso rischio sanitario. Eppure, per Conte-Lamorgese-Pd-5Stelle-Renzi-Leu il pericolo sono i siciliani e gli altri italiani che si oppongono all’invasione. Per me ci sarà il processo a Catania, il 3 ottobre, e contro Musumeci c’è stato il ricorso al Tar. Questo governo spalanca i porti e vuole arrestare gli italiani che dicono NO”. Lo dice il leader della Lega Matteo Salvini.",https://www.facebook.com/legasalvinipremier/photos/a.597100443666219/3564600556916178/?type=3,,SBARCO NOTTURNO A LAMPEDUSA Lampedusa 30.08.2020 @LegaSalviniPremier HAHOHE 450 STOP BASTA! IL SINDACO DI SINISTRA: SIAMO IN GINOCCHIO,,,,,2.67
Lega - Salvini Premier,legasalvinipremier,422703967772535,763440,2020-08-30 03:30:02 EDT,Link,46,53,18,0,0,0,0,28,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3564541476922086,"MIGRANTI, TRENTA SBARCHI A LAMPEDUSA IN UN GIORNO MUSUMECI: «GOVERNO COSA FA»?",https://www.lasicilia.it/news/agrigento/358932/migranti-trenta-sbarchi-a-lampedusa-in-un-giorno-musumeci-governo-cosa-fa.html,,,"Migranti, trenta sbarchi a Lampedusa in un giorno Musumeci: «Governo cosa fa»?",Nell'isola delle Pelagie è sempre emergenza con più di 1000 persone nell'hotspot,,,-4.69
Lega - Salvini Premier,legasalvinipremier,422703967772535,763440,2020-08-30 03:00:02 EDT,Link,117,73,96,0,1,12,1,102,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3564467193596181,"VIRUS, TRE NIGERIANI SCATENANO IL PANICO ALL’OSPEDALE CELIO DOPO AVER SAPUTO DI ESSERE POSITIVI",https://roma.corriere.it/notizie/cronaca/20_agosto_29/virus-tre-nigeriani-scatenano-panico-all-ospedale-celio-aver-saputo-essere-positivi-2a268014-ea21-11ea-80e5-bbd042ec2ced.shtml,,,Migranti positivi al Covid prendono a morsi i medici per tentare di fuggire dall’ospedale,Un uomo e due ragazze hanno dapprima aggredito tre sottufficiali addetti alle dimissioni dei pazienti e quindi anche il responsabile del reparto e il suo vice,,,-1.69
Lega - Salvini Premier,legasalvinipremier,422703967772535,763440,2020-08-30 02:00:02 EDT,Link,106,113,25,3,2,2,1,89,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3564330876943146,"CELIO: TRE MIGRANTI POSITIVI AGGREDISCONO MILITARI, DENUNCIATI.",https://www.rainews.it/dl/rainews/articoli/Celio-tre-migranti-positivi-aggrediscono-militari-denunciati-9f97c201-cf0a-4bbc-8303-74e7a9411bf2.html,,,"Celio: tre migranti positivi aggrediscono militari, denunciati","Quando hanno capito che il personale medico stava dimettendo un cittadino del  Bangladesh hanno aggredito i sanitari e hanno tentato di uscire. Per questo due nigeriane e un nigeriano, positivi al Covid 19, sono stati denunciati dai carabinieri per violenza privata, resistenza e violenza a incarica...",,,-1.99
